Year,Any Gambling,Gambling Machines,Wagering,Casino,Lotteries,Keno,Other
2001,22.9,13.6,3,3.9,2.2,0.2,0.1
2002,22.9,13.5,3.1,3.8,2.3,0.2,0.1
2003,23.5,13.8,3.2,3.9,2.3,0.3,0.1
2004,23.9,14.3,3.3,3.7,2.3,0.3,0.1
2005,24.2,14.2,3.3,4,2.3,0.3,0
2006,24.2,14.1,3.4,4.1,2.3,0.3,0
2007,23.3,13.1,3.3,4.1,2.4,0.3,0
2008,23.8,13.1,3.5,4.3,2.5,0.3,0
2009,22.5,12.5,3.6,4.3,1.8,0.3,0
2010,23,12.6,3.6,4.4,2.1,0.3,0
2011,23.8,12.6,3.8,4.7,2.3,0.4,0
2012,23.5,12.2,3.8,4.7,2.4,0.4,0
2013,23.5,12.2,3.9,4.8,2.2,0.4,0
2014,24.8,12.6,4.1,5.6,2.2,0.4,0
2015,25.4,12.9,4.3,5.5,2.3,0.4,0
2016,24.9,12.7,4.6,5,2.1,0.4,0
2017,25.8,12.9,5.1,5.3,2.2,0.4,0
2018,25.9,12.9,5.1,4.9,2.6,0.4,0
2019,21.2,10.2,4.6,3.5,2.6,0.3,0
